2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_Banking_10] at [Tue Mar 04 23:15:40 2025].
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [Test]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_Banking_10] Run Instance Name: [] Run Id: [3]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_Banking_10.
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-04 23:15:40 : INFO : (12016 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_Banking_10] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-04 23:15:40 : INFO : (12016 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-04 23:15:40 : INFO : (12016 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-04 23:15:40 : INFO : (12016 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2025-03-04 23:15:40 : INFO : (12016 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2025-03-04 23:15:40 : INFO : (12016 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2025-03-04 23:15:40 : INFO : (12016 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : CMN_1569 : Server Mode: [ASCII]
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TM_6151 : The session sort order is [Binary].
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : CMN_65112 : Current Process ID:[12016]
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TM_6156 : Using low precision processing.
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TM_6187 : Session target-based commit interval is [10000].
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TM_6307 : DTM error log disabled. 
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TE_7022 : TShmWriter: Initialized
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : DBG_21694 : Inner_join Partition [0]: Index cache size = [44739242], Data cache size = [89478484]
2025-03-04 23:15:40 : INFO : (12016 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [Inner_join] is configured with the join algorithm: Nested-Loop.
